file,audio_time,text
card_001.png,0:00,"Imagine knowing the universe is wrong, not slightly wrong, completely wrong."
card_002.png,0:06,"Every professor, every textbook, every scientist alive, and somehow, you are the only person who can see it."
card_003.png,0:15,You are Albert Einstein.
card_004.png,0:16,"And one day, your name will change physics forever."
card_005.png,0:19,"But for most of your early life, nobody thinks you are special."
card_006.png,0:23,Teachers think you are slow.
card_007.png,0:25,You hate memorization.
card_008.png,0:26,You question everything.
card_009.png,0:27,"And in a system built on obedience, that makes you look like a problem."
card_010.png,0:33,"Imagine sitting in class, listening to adults explain how the world works, and feeling that something isn't right."
card_011.png,0:40,Most people ignore that feeling.
card_012.png,0:42,You can't.
card_013.png,0:43,"As a child, your father shows you a compass."
card_014.png,0:46,"The needle moves, but nothing touches it."
card_015.png,0:49,"No strings, no hands, no visible force."
card_016.png,0:52,That moment haunts you.
card_017.png,0:54,"If invisible forces exist, what else is hiding beneath reality?"
card_018.png,0:59,That question consumes the rest of your life.
card_019.png,1:02,Fast forward.
card_020.png,1:03,You are not a famous scientist.
card_021.png,1:05,You are not even a university professor.
card_022.png,1:07,"You are a clerk, working at a patent office in Switzerland."
card_023.png,1:11,"Every day, the same desk, the same papers, the same routine."
card_024.png,1:16,"To everyone else, your life looks ordinary, almost forgettable."
card_025.png,1:20,"But inside your mind, something extraordinary is happening."
card_026.png,1:24,Every patent you read forces you to imagine how the world works.
card_027.png,1:29,Every quiet afternoon becomes another experiment.
card_028.png,1:32,"Not with machines, but with imagination."
card_029.png,1:35,You begin asking impossible questions.
card_030.png,1:38,Imagine riding alongside a beam of light.
card_031.png,1:41,What would you see?
card_032.png,1:42,"If you could ever catch it, would the light stop moving?"
card_033.png,1:45,Or would something else break first?
card_034.png,1:48,Nobody knows.
card_035.png,1:49,Because nobody has ever dared to ask the question that way.
card_036.png,1:52,Then you ask another question.
card_037.png,1:54,What if time isn't fixed?
card_038.png,1:56,What if it changes?
card_039.png,1:58,"At the time, this sounds ridiculous."
card_040.png,2:01,Time is time.
card_041.png,2:02,Everyone knows that.
card_042.png,2:03,Or so they think.
card_043.png,2:05,"In 1905, everything changes."
card_044.png,2:07,You publish four papers.
card_045.png,2:10,Not one.
card_046.png,2:11,Four.
card_047.png,2:11,Each capable of making someone famous.
card_048.png,2:14,"Together, they transform physics forever."
card_049.png,2:18,The first proves that atoms aren't just ideas.
card_050.png,2:21,They are real.
card_051.png,2:22,Invisible.
card_052.png,2:23,But real.
card_053.png,2:24,The second changes light forever.
card_054.png,2:26,"For centuries, scientists argue about what light truly is."
card_055.png,2:30,You suggest something impossible.
card_056.png,2:32,Maybe it doesn't have to choose.
card_057.png,2:34,Maybe light is both.
card_058.png,2:35,A wave and a particle.
card_059.png,2:37,"Most people think you've lost your mind, but you aren't finished."
card_060.png,2:41,"You show that space and time are connected, not separate."
card_061.png,2:44,One fabric.
card_062.png,2:45,Mass bends space.
card_063.png,2:46,And that bending is what we call gravity.
card_064.png,2:50,Distance changes.
card_065.png,2:51,Time changes.
card_066.png,2:52,The universe changes.
card_067.png,2:54,Imagine discovering that reality itself works differently than everyone believes.
card_068.png,2:58,You have no idea that you've just written one of the most famous equations in history.
card_069.png,3:04,E equals m c squared.
card_070.png,3:06,You stare at it.
card_071.png,3:08,It looks almost too simple.
card_072.png,3:10,Could reality really be hiding behind five symbols?
card_073.png,3:14,The equation says something astonishing.
card_074.png,3:16,"Or that one day, it will power cities, change medicine, help humans understand the stars, and eventually help build the most destructive weapon ever created."
card_075.png,3:26,"For now, it's just another sheet of paper, sitting on your desk."
card_076.png,3:30,Many don't believe you.
card_077.png,3:32,Some mock you.
card_078.png,3:34,Others ignore you entirely.
card_079.png,3:35,Because every revolutionary idea begins the same way.
card_080.png,3:39,Alone.
card_081.png,3:39,Then comes 1919.
card_082.png,3:41,A solar eclipse.
card_083.png,3:43,"Scientists test your prediction, and it works."
card_084.png,3:47,Overnight.
card_085.png,3:47,You become the most famous scientist on earth.
card_086.png,3:51,You change physics forever.
card_087.png,3:53,Your face appears everywhere.
card_088.png,3:55,Kings want to meet you.
card_089.png,3:56,Universities want to hire you.
card_090.png,3:58,Crowds gather just to watch you walk past.
card_091.png,4:01,The world falls in love with Albert Einstein.
card_092.png,4:05,Fame follows you everywhere.
card_093.png,4:07,"Every speech, every interview, every photograph."
card_094.png,4:11,"Yet despite being surrounded by people, you often feel alone."
card_095.png,4:15,Because genius solves many problems.
card_096.png,4:17,Loneliness isn't always one of them.
card_097.png,4:20,Then come darker times.
card_098.png,4:22,Nazism is rising.
card_099.png,4:23,Europe is changing.
card_100.png,4:25,"As a Jewish scientist, you become a target."
card_101.png,4:28,"You leave Germany, never to return."
card_102.png,4:30,America becomes your new home.
card_103.png,4:32,But another dilemma awaits you.
card_104.png,4:34,One that will trouble you for the rest of your life.
card_105.png,4:37,Your discoveries help pave the road toward nuclear weapons.
card_106.png,4:40,"You never build the bomb, yet many associate your name with it."
card_107.png,4:45,"So you spend years advocating for peace, trying to prevent humanity from destroying itself, warning governments, warning scientists, warning anyone willing to listen."
card_108.png,4:56,Knowledge without wisdom is dangerous.
card_109.png,4:58,"Imagine understanding the universe better than almost anyone alive, and still worrying about whether humanity will survive."
card_110.png,5:05,"As you grow older, you become obsessed with one final dream."
card_111.png,5:10,A theory that explains everything.
card_112.png,5:12,"Every force, every law, every mystery."
card_113.png,5:15,"For decades you search, and fail."
card_114.png,5:18,"The universe has given you many answers, but not this one."
card_115.png,5:22,Perhaps that's the strange thing about knowledge.
card_116.png,5:24,"The more you learn, the bigger the mystery becomes."
card_117.png,5:28,"You show the world that time can bend, space can curve, reality can surprise us."
card_118.png,5:33,But maybe your greatest lesson isn't physics.
card_119.png,5:37,It is curiosity.
card_120.png,5:38,"The willingness to ask questions nobody else asks, to doubt assumptions, to challenge certainty, to wonder."
card_121.png,5:46,Because the discovery that changes the world begins with a simple thought.
card_122.png,5:52,"A child staring at a compass, wondering why the needle moved."
card_123.png,5:57,And maybe that's what makes you different.
card_124.png,6:00,"Not intelligence, not equations, not fame."
card_125.png,6:03,Just an unwillingness to stop asking why.
card_126.png,6:08,"The universe is still filled with mysteries, questions nobody can answer, ideas waiting to be discovered."
card_127.png,6:16,"And somewhere, the next person who changes the world might simply be a curious child, looking at something ordinary, and refusing to look away."
card_128.png,6:27,You spend your life trying to understand reality.
card_129.png,6:30,"And the remarkable thing is, you show us that reality is far stranger than anyone imagined."
card_130.png,6:37,"And perhaps, that's still true today."
